struct_id_2015,structure_id_2023,match_distance_deg
800916,812894,4.2751212418990666e-05
800917,805646,2.9072938211742043e-05
800918,804295,2.822537819356101e-05
800919,810785,5.293739943663575e-06
800920,813336,4.1372923987411726e-05
800921,811901,3.7147408638711826e-05
800922,809394,2.9129414752575317e-05
800923,811581,7.76625299347982e-06
800924,809374,5.779685294486442e-06
800925,808775,2.306665231309886e-06
800926,812012,1.0863660197931896e-05
800927,802193,1.3147229315244746e-05
800928,815929,1.63457453207129e-06
800929,816339,7.774519966285083e-06
800930,815921,1.083862657146737e-05
800931,815470,8.64914151644875e-06
800932,808613,4.271280654772039e-05
800933,808613,4.211465228655167e-05
800934,806928,2.0321849581774774e-05
800935,816276,1.374056112184414e-06
800936,807708,4.777610591895797e-05
800937,807708,3.075478893206145e-05
800938,807708,4.001580886502203e-05
800939,804189,6.753192289443988e-06
800940,816675,4.7152887533960644e-05
800941,801034,2.2578267334433943e-06
800942,802648,7.74408540131983e-06
800943,812363,1.781509765552444e-05
800944,804027,5.366313168307027e-05
800945,807295,2.752160295955743e-05
800946,802797,1.1034367812064614e-05
800947,817672,2.090604895146371e-06
800948,806234,2.7425118145350466e-05
800949,817661,1.6230711452626526e-05
800950,806360,1.0338490818394715e-05
800951,818937,1.8965476224464593e-05
800952,806548,1.3742023586737388e-05
800953,817619,0.00010515287624930089
800954,808008,4.102638961794727e-05
800955,815633,2.4566506845692856e-05
800956,800002,5.626383146554152e-06
800957,809315,1.3574978269353565e-05
800958,813288,3.654753437196489e-05
800959,801208,3.405820446048233e-05
800960,818090,3.711955317057585e-05
800961,807879,3.5618256231145524e-05
800962,807952,6.3790276880923595e-06
800963,813397,2.9390543886647042e-05
800964,805968,1.2094177170699542e-05
800965,808887,1.47726225379238e-05
800967,817331,9.408931271701529e-06
800968,813739,8.601925976594341e-06
800969,802175,1.9581744732458214e-06
800970,816462,2.3289577698468266e-05
800971,807002,1.4842689578664003e-05
800972,801943,2.8714694667083652e-05
800973,809324,1.3069190381671438e-05
800974,818340,3.2020770501205646e-05
800975,813420,3.6757616547334184e-05
800976,810400,3.902463190222848e-05
800977,801207,3.313885354169224e-06
800978,807745,3.710046941586626e-05
800979,814636,1.0902994190547027e-06
800980,806067,1.4490195105205873e-05
800981,812843,2.06885005532161e-06
800982,817141,2.1497033483550057e-06
800983,803325,3.0386680612798935e-06
800984,802865,1.747249427633172e-05
800985,811836,8.945095596749612e-06
800986,807504,3.626041819911865e-05
800987,813486,3.725535728205677e-05
800988,815019,3.746039418475278e-05
800989,803567,8.279541680635085e-06
